,bear,buffalo,boar,tiger,wolf,monkey,porcupine,scorpion,vulture,rhino,viper,fox,eagle,panther
bear,,0.4890,0.5280,0.4145,0.4597,0.4700,0.4690,0.5050,0.5370,0.3930,0.5050,0.4250,0.4407,0.5415
buffalo,0.5110,,0.5965,0.4913,0.4377,0.4188,0.4550,0.4895,0.5420,0.4610,0.4910,0.3750,0.4497,0.5797
boar,0.4720,0.4035,,0.3965,0.4173,0.5085,0.4278,0.4375,0.5070,0.4295,0.4803,0.4052,0.4595,0.4780
tiger,0.5855,0.5088,0.6035,,0.5363,0.5470,0.5390,0.5735,0.6295,0.5405,0.5740,0.4490,0.5755,0.5825
wolf,0.5403,0.5623,0.5827,0.4637,,0.4652,0.5192,0.5105,0.6025,0.5050,0.5545,0.3985,0.5120,0.5575
monkey,0.5300,0.5813,0.4915,0.4530,0.5348,,0.3782,0.4582,0.4520,0.5250,0.5385,0.4030,0.4690,0.4625
porcupine,0.5310,0.5450,0.5722,0.4610,0.4808,0.6218,,0.4963,0.5865,0.4920,0.5440,0.4685,0.4918,0.5655
scorpion,0.4950,0.5105,0.5625,0.4265,0.4895,0.5417,0.5037,,0.5640,0.5125,0.5285,0.4753,0.4935,0.5465
vulture,0.4630,0.4580,0.4930,0.3705,0.3975,0.5480,0.4135,0.4360,,0.3865,0.4635,0.4373,0.3800,0.4610
rhino,0.6070,0.5390,0.5705,0.4595,0.4950,0.4750,0.5080,0.4875,0.6135,,0.5563,0.4482,0.4950,0.5713
viper,0.4950,0.5090,0.5197,0.4260,0.4455,0.4615,0.4560,0.4715,0.5365,0.4437,,0.4130,0.4487,0.4950
fox,0.5750,0.6250,0.5948,0.5510,0.6015,0.5970,0.5315,0.5248,0.5627,0.5517,0.5870,,0.5220,0.5940
eagle,0.5593,0.5503,0.5405,0.4245,0.4880,0.5310,0.5082,0.5065,0.6200,0.5050,0.5513,0.4780,,0.5545
panther,0.4585,0.4203,0.5220,0.4175,0.4425,0.5375,0.4345,0.4535,0.5390,0.4287,0.5050,0.4060,0.4455,
